node,cluster,type,corr_4g,corr_5g,peak_hour,industry_ratio,residential_ratio,commercial_ratio,volatility
8032,5,混合型,0.5759057551808261,0.4963782967327951,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3227.5817636183506
8033,5,混合型,0.5612957782899339,0.48262568479589063,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3276.1339504170232
8034,2,混合型,0.2264092006723502,0.18308428646294977,12.0,0.33271676300578035,0.33271676300578035,0.33271676300578035,2643.8254221402735
8035,2,混合型,0.33886999081434643,0.28430319080685906,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,5007.043683668556
8036,1,混合型,0.196034197624769,0.15482529455833005,12.0,0.2858399296394019,0.2858399296394019,0.2858399296394019,19070323.11131198
8037,3,混合型,0.2336643621428296,0.18961944015077503,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,6525.485784370718
8038,3,混合型,0.16123079188062586,0.12449301484863257,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,8248.73212990978
8039,7,混合型,-0.03933110785944299,-0.05352608501538958,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,38628.27896658368
8040,7,混合型,-0.12863825382217914,-0.12833386839893213,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,-33035.98270132605
8041,5,混合型,0.5256941743836573,0.4511561526016556,18.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3481.5462453612777
8042,0,混合型,0.4896354898180885,0.4192226868454403,12.0,0.3333604954367666,0.3333604954367666,0.33327900912646674,3713.060987862197
