node,cluster,type,peak_hour,energy_00_06,energy_06_12,energy_12_18,energy_18_24,industry_ratio,residential_ratio,commercial_ratio
8025,7,下午高峰型,12-18,-0.38571613298222485,0.014582089443992747,0.2391351248638346,0.13199891867439767,0.33302975106253796,0.33302975106253796,0.33302975106253796
8026,4,夜间高峰型,18-24,-0.38403706289557715,-0.05618751183641902,0.20789727352255472,0.23269012365830816,0.33327902240325863,0.33319755600814666,0.33319755600814666
8027,1,下午高峰型,12-18,-0.4650913605824222,-0.010267868510948864,0.24913991354479179,0.2265219241135467,0.3333604954367666,0.3333604954367666,0.33327900912646674
8028,7,下午高峰型,12-18,-0.37238183787029827,0.03311575623994263,0.24613000906597637,0.09354189323618614,0.3294979079497908,0.3294979079497908,0.3294979079497908
8029,2,下午高峰型,12-18,-0.3436154060019483,0.031217304507486478,0.22544101169516878,0.08709732203287725,0.2500152783719367,0.2500152783719367,0.24995416488418995
8030,8,下午高峰型,12-18,-0.5420994486891232,0.07967045182815649,0.29950140390636787,0.1631846980370424,0.3333604954367666,0.3333604954367666,0.33327900912646674
8031,4,夜间高峰型,18-24,-0.40151568712407376,-0.05850864347259162,0.21606260371210986,0.24427090750567904,0.3333604954367666,0.3333604954367666,0.33327900912646674
8032,4,夜间高峰型,18-24,-0.35843128654177725,-0.061223120899470386,0.18199865780388622,0.2379476498026307,0.3333604954367666,0.3333604954367666,0.33327900912646674
8033,4,夜间高峰型,18-24,-0.34782371414192137,-0.06643506515551582,0.19068297726409872,0.22385675780090664,0.3333604954367666,0.3333604954367666,0.33327900912646674
8034,3,下午高峰型,12-18,-0.32307142142447415,0.05950736320407445,0.21377017901435041,0.05009274268562758,0.33271676300578035,0.33271676300578035,0.33271676300578035
8035,3,下午高峰型,12-18,-0.2892929093615143,0.037738729493462714,0.1653517990187572,0.0863406583905749,0.3333604954367666,0.3333604954367666,0.33327900912646674
8036,6,下午高峰型,12-18,-0.303267195426409,0.044751153375015944,0.22434208558831067,0.03417395646308224,0.2858399296394019,0.2858399296394019,0.2858399296394019
8037,5,下午高峰型,12-18,-0.4233418108609857,0.076812391853921,0.2771758301926605,0.06951185254455314,0.3333604954367666,0.3333604954367666,0.33327900912646674
8038,5,下午高峰型,12-18,-0.39235801289786904,0.08219698917984558,0.282689771999559,0.027590333103707086,0.3333604954367666,0.3333604954367666,0.33327900912646674
8039,0,下午高峰型,12-18,-0.10601267300523892,0.039642767893518005,0.08810200907077775,-0.021724633085869235,0.3333604954367666,0.3333604954367666,0.33327900912646674
8040,0,下午高峰型,12-18,-0.1271328699483038,0.08185185884005786,0.084463124278971,-0.0391929035214207,0.3333604954367666,0.3333604954367666,0.33327900912646674
8041,4,夜间高峰型,18-24,-0.38856907112477,-0.0377389253544672,0.20492762829508854,0.22166382178259855,0.3333604954367666,0.3333604954367666,0.33327900912646674
8042,1,下午高峰型,12-18,-0.4623317608526641,-0.011307142088387054,0.2389116971428016,0.23503480309588087,0.3333604954367666,0.3333604954367666,0.33327900912646674
