node,cluster,type,peak_hour,holiday_effect,weekend_effect,volatility,energy_00_06,energy_06_12,energy_12_18,energy_18_24
8014,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-5.155653069303873e-09,-3.5023796198479427,-44.1055261049328,-0.41277992427487836,0.03408862232244533,0.22725804449655115,0.15172407853151756
8015,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,5.4011406919093415e-09,-3.5049420547129837,-9.80319760087885,-0.41044172714003546,0.03647990417888115,0.235631564401538,0.13867429341945045
8016,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,7.573074486244208e-09,-3.5022821600163416,-19.093686031132506,-0.47509890560804874,-0.05121181354584425,0.2972271070523373,0.22940470732117604
8017,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-5.510435500850474e-09,-3.506249483170966,12.946711070603412,-0.3427416070771912,0.05629033098811616,0.2150439255102751,0.07153966382611128
8018,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-8.63555791963155e-09,-3.502353927072716,-50.44498333615907,-0.28687384733784277,0.0694639537806643,0.1907718911722707,0.026710733280385514
8019,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,6.110207263800007e-09,-3.5022826813912435,24.840912621078353,-0.5253381343585779,0.04256215266107924,0.32816612081105306,0.15486817651053866
8020,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,2.3573167547811355e-09,-3.503096182346803,-12.188053802891153,-0.30389276029127854,-0.02776962897282354,0.19084887060680514,0.14107216719289853
8021,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,2.8116874821136464e-09,-3.5023539769191703,-27.73212679145179,-0.34854508689455765,0.04600722400407517,0.23822725742969572,0.06443180645865183
8022,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,-6.853401617835215e-09,-3.5022826373179288,-20.99201656149736,-0.4737790674268471,0.04400964227112735,0.2869867631204791,0.14301597408652147
8023,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,8.551485682864945e-09,-3.502282258280595,-12.066268186613835,-0.4291205210133728,0.02276595443155612,0.21925279299939276,0.1873563587467245
8024,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,1.1119297744842678e-09,-3.503994361468919,21.487508815588587,-0.41703531232806484,-0.03217377375143055,0.2204222130235275,0.2290586458238585
8025,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-3.865894973655507e-09,-3.5042545921144437,-2.1311003971275464,-0.38571613298222485,0.014582089443992747,0.2391351248638346,0.13199891867439767
8026,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,-5.269376217827289e-09,-3.503138082546145,-14.750938009006838,-0.38403706289557715,-0.05618751183641902,0.20789727352255472,0.23269012365830816
8027,0,"下午高峰型 / 主要部门时段: 住宅, 住宅, 住宅, 住宅",12-18,1.2249364220859172e-09,-3.5022823466365187,15.476425624676423,-0.4650913605824222,-0.010267868510948864,0.24913991354479179,0.2265219241135467
8028,1,"下午高峰型 / 主要部门时段: 商业, 商业, 商业, 商业",12-18,-7.085718028355127e-09,-3.5147053007757356,-2.294653532888317,-0.37238183787029827,0.03311575623994263,0.24613000906597637,0.09354189323618614
